entities,years,num_patent_granted__field_life_sciences,research_spending_gdp,public_health_expenditure_share_gdp,median_age__sex_all__age_all__variant_estimates,dependency_ratio__sex_all__age_old__variant_estimates,dependency_ratio__sex_all__age_youth__variant_estimates
Argentina,2013,0.0,0.61849,6.264,29.492,16.786158,39.246693
Argentina,2014,0.0,0.59396,6.361,29.677,16.980871,39.027992
Argentina,2015,0.0,0.62262,6.853,29.861,17.196878,38.83735
Argentina,2016,0.0,0.55815,5.619,30.051,17.409235,38.617672
Argentina,2017,0.0,0.55631,6.644,30.258,17.615713,38.33677
Argentina,2018,1.0,0.4883,5.883,30.491,17.844986,37.986492
Argentina,2019,1.0,0.47813,5.857,30.763,18.07671,37.49375
Argentina,2020,0.0,0.54154,6.644,31.08,18.258383,36.73851
Austria,2013,1.0,2.95492,7.612,41.759,26.969772,21.31782
Austria,2014,1.0,3.08429,7.673,41.945,27.295645,21.246391
Austria,2015,0.0,3.04969,7.678,41.997,27.436342,21.274563
Austria,2016,3.0,3.11655,7.657,42.007,27.537218,21.399166
Austria,2017,3.0,3.05656,7.686,42.115,27.769823,21.523703
Austria,2018,2.0,3.09182,7.727,42.274,28.068342,21.59936
Austria,2019,0.0,3.13247,7.873,42.433,28.40571,21.643929
Austria,2020,0.0,3.20149,8.707,42.572,28.831335,21.664343
Belgium,2013,0.0,2.33073,8.025,40.206,27.117134,26.019678
Belgium,2014,0.0,2.37002,8.067,40.35,27.592287,26.135355
Belgium,2015,0.0,2.42817,8.237,40.429,27.986889,26.206747
Belgium,2016,0.0,2.52338,8.276,40.492,28.366642,26.26413
Belgium,2017,0.0,2.66666,8.279,40.586,28.818588,26.337345
Belgium,2018,1.0,2.86018,8.311,40.663,29.256647,26.378237
Belgium,2019,0.0,3.1566,8.089,40.735,29.676119,26.359116
Belgium,2020,2.0,3.39697,8.796,40.811,30.02386,26.260624
Brazil,2013,9.0,1.19567,3.556,29.569,10.622589,33.549
Brazil,2014,10.0,1.26971,3.709,30.023,11.003381,32.811123
Brazil,2015,10.0,1.37093,3.861,30.471,11.421241,32.168125
Brazil,2016,22.0,1.28637,3.952,30.919,11.855821,31.579386
Brazil,2017,22.0,1.1175,3.959,31.367,12.312962,31.053362
Brazil,2018,26.0,1.16769,3.897,31.813,12.799934,30.626291
Brazil,2019,16.0,1.21096,3.93,32.256,13.304682,30.2292
Brazil,2020,12.0,1.14526,0.0,32.684,13.776498,29.803722
Bulgaria,2013,0.0,0.63433,4.056,42.061,28.892996,20.410446
Bulgaria,2014,0.0,0.79005,4.493,42.31,29.768227,20.783985
Bulgaria,2015,0.0,0.94917,4.15,42.527,30.66955,21.109184
Bulgaria,2016,0.0,0.76976,4.129,42.753,31.457159,21.445093
Bulgaria,2017,0.0,0.73995,4.224,43.01,32.123573,21.815672
Bulgaria,2018,0.0,0.75379,4.332,43.301,32.804527,22.16266
Bulgaria,2019,0.0,0.83236,4.297,43.628,33.486595,22.432848
Bulgaria,2020,0.0,0.84924,5.354,43.897,33.942337,22.59143
Canada,2013,40.0,1.7054,7.409,39.297,22.203104,23.753967
Canada,2014,29.0,1.71417,7.283,39.469,22.898956,23.83611
Canada,2015,48.0,1.69324,7.635,39.629,23.596266,23.957159
Canada,2016,82.0,1.72903,7.731,39.733,24.283838,24.071287
Canada,2017,113.0,1.68702,7.618,39.77,24.950377,24.111946
Canada,2018,121.0,1.7372,7.623,39.769,25.611782,24.084618
Canada,2019,115.0,1.75573,7.686,39.788,26.330713,24.040808
Canada,2020,60.0,1.89484,9.612,39.901,27.151903,24.00471
Chile,2013,0.0,0.3903,4.437,32.702,15.499976,29.748253
Chile,2014,0.0,0.37668,4.622,33.018,15.8981085,29.340118
Chile,2015,0.0,0.38296,4.906,33.331,16.333122,28.976826
Chile,2016,0.0,0.37103,5.006,33.62,16.763685,28.576473
Chile,2017,0.0,0.35679,5.468,33.862,17.13724,28.083906
Chile,2018,0.0,0.36916,5.565,34.079,17.478584,27.576925
Chile,2019,0.0,0.34205,5.68,34.328,17.844751,27.11709
Chile,2020,0.0,0.33496,6.33,34.684,18.280983,26.700563
China,2013,86.0,1.99786,2.705,35.141,12.932433,25.305258
China,2014,102.0,2.02243,2.804,35.411,13.422467,25.454613
China,2015,160.0,2.05701,2.986,35.69,14.033434,25.573845
China,2016,376.0,2.10033,2.892,35.985,14.731025,25.707308
China,2017,550.0,2.11603,2.86,36.279,15.536675,25.971684
China,2018,940.0,2.14058,2.914,36.621,16.41245,26.125566
China,2019,1460.0,2.24463,3.015,37.026,17.291328,26.09289
China,2020,1917.0,2.40666,3.102,37.494,18.217321,25.871552
Croatia,2013,0.0,0.79817,5.441,41.727,27.68435,22.198648
Croatia,2014,0.0,0.77259,5.47,41.972,28.2824,22.110374
Croatia,2015,1.0,0.82816,5.516,42.307,29.061613,22.106478
Croatia,2016,0.0,0.84995,5.537,42.709,29.88142,22.16777
Croatia,2017,0.0,0.84727,5.483,43.169,30.829208,22.31584
Croatia,2018,0.0,0.95125,5.522,43.61,31.904163,22.491531
Croatia,2019,0.0,1.07963,5.559,43.952,32.94143,22.611
Croatia,2020,0.0,1.24261,6.492,44.228,33.901455,22.62256
Czechia,2013,0.0,1.87924,6.356,39.585,25.116043,21.95276
Czechia,2014,0.0,1.95833,6.404,39.962,26.152342,22.432207
Czechia,2015,0.0,1.91689,6.213,40.363,27.15255,22.92318
Czechia,2016,0.0,1.67003,6.273,40.771,28.184164,23.41515
Czechia,2017,0.0,1.76855,6.228,41.181,29.221136,23.911028
Czechia,2018,0.0,1.89906,6.341,41.575,30.18558,24.387774
Czechia,2019,0.0,1.92734,6.462,41.963,31.094694,24.807201
Czechia,2020,0.0,1.98599,8.081,42.324,31.848543,25.120893
Denmark,2013,4.0,2.97048,8.705,40.163,27.910011,26.818834
Denmark,2014,6.0,2.91409,8.688,40.366,28.532688,26.537014
Denmark,2015,9.0,3.05497,8.699,40.498,29.022337,26.274649
Denmark,2016,3.0,3.09283,8.616,40.593,29.437534,26.09562
Denmark,2017,9.0,2.93124,8.478,40.724,29.872501,25.98662
Denmark,2018,7.0,2.96603,8.457,40.861,30.341145,25.859453
Denmark,2019,5.0,2.89685,8.499,40.993,30.841673,25.727262
Denmark,2020,1.0,2.96873,9.04,41.149,31.369398,25.60179
Finland,2013,1.0,3.27137,7.643,41.364,29.549448,25.45913
Finland,2014,0.0,3.14751,7.631,41.419,30.740477,25.655336
Finland,2015,2.0,2.87196,7.421,41.456,31.837025,25.785875
Finland,2016,3.0,2.72442,7.148,41.497,32.794525,25.84236
Finland,2017,4.0,2.72787,6.974,41.592,33.72618,25.854053
Finland,2018,4.0,2.75749,6.959,41.765,34.662693,25.786896
Finland,2019,5.0,2.79961,7.142,41.974,35.521927,25.580862
Finland,2020,0.0,2.91243,7.615,42.178,36.336983,25.320364
France,2013,3.0,2.23703,8.66,39.773,28.13076,28.98838
France,2014,5.0,2.27592,8.781,40.033,29.01211,28.998281
France,2015,7.0,2.22702,8.724,40.286,29.917917,29.00472
France,2016,11.0,2.22238,9.505,40.52,30.745064,28.872002
France,2017,18.0,2.19888,9.425,40.71,31.483984,28.736582
France,2018,22.0,2.19666,9.316,40.885,32.188877,28.596588
France,2019,17.0,2.19179,9.246,41.08,32.88816,28.409834
France,2020,16.0,2.28189,10.216,41.252,33.51512,28.212585
Germany,2013,4.0,2.83599,9.22,44.487,31.530432,20.063171
Germany,2014,6.0,2.87784,9.285,44.733,31.795439,20.010176
Germany,2015,16.0,2.93379,9.421,44.813,32.001713,20.095533
